Previous ConceptID	Current ConceptID	Date Of Action
CN229147 	C3713420	16 Oct 2019
CN203627 	C0342394	16 Oct 2019
CN239483	C0265221	25 Oct 2019
C1835678 	C0265336	05 Nov 2019
C1859616	C0004135	05 Nov 2019
CN000011 	C0262655	17 Nov 2019
CN000556	C3152182	17 Nov 2019
CN000902 	C0013595	17 Nov 2019
CN536248	C0264080	27 Nov 2019
C4316786	C0264080	27 Nov 2019
CN181674	C0342288	03 Dec 2019
C2930984	C1866077	03 Dec 2019
C0110356	No longer reported	04 Dec 2019
C0110356	No longer reported	04 Dec 2019
C1970840	C1846148	04 Dec 2019
CN074197	C2931276	05 Dec 2019
C0795909 	C2931280	05 Dec 2019
CN259063	C4746777	05 Dec 2019
C4023514	C4316903	06 Dec 2019
C1865925	C1832370	06 Dec 2019
C0011847 	C1320657	13 Dec 2019
CN262232 	C1519711	13 Dec 2019
CN231858 	C4551687	13 Dec 2019
C0341012 	C1274321	13 Dec 2019
C0085660 	C0027543	13 Dec 2019
C0268024 	C0878640	13 Dec 2019
C1962971 	C0027059	13 Dec 2019
CN226011 	C0393782	13 Dec 2019
C0235886 	C0239340	13 Dec 2019
C0151872 	C0853225	13 Dec 2019
C0026821 	C0037763	13 Dec 2019
C0020639 	C0392692	13 Dec 2019
C0151714 	C1522135	13 Dec 2019
C1704317 	C0023532	13 Dec 2019
C0277799 	C3714772	13 Dec 2019
C0425795 	C0175755	13 Dec 2019
C1833690 	C1862322	13 Dec 2019
C4531297 	C0427444	13 Dec 2019
C4476725 	C0423402	13 Dec 2019
C4552130 	C0014553	13 Dec 2019
C0008439 	C1285334	13 Dec 2019
C0266525 	C1862839	13 Dec 2019
C0342162 	C0271790	13 Dec 2019
C1847514 	C0431352	13 Dec 2019
C1845019 	C0344955	13 Dec 2019
C4551561 	C0406443	13 Dec 2019
C4025654 	C1704431	13 Dec 2019
C1839333 	C4750718	13 Dec 2019
C2936664 	C0009447	13 Dec 2019
C1853220	C4551963	18 Dec 2019
C1389016	C1389018	22 Dec 2019
C1389016	C1389018	22 Dec 2019
C1847528	C0011615	26 Dec 2019
CN228919 	CN043626	27 Dec 2019
C4016904	No longer reported	27 Dec 2019
C4016904	No longer reported	27 Dec 2019
CN258248 	C5193051	29 Dec 2019
C4310657 	C5193018	29 Dec 2019
CN258187 	C5193023	29 Dec 2019
CN860323	C0398791	30 Dec 2019
CN242287 	No longer reported	01 Jan 2020
C1849101	C4225177	01 Jan 2020
C1847731	C4551624	01 Jan 2020
C1835913	C1837822	01 Jan 2020
CN030522 	C1840392	01 Jan 2020
C0796202	C1956097	01 Jan 2020
C1838566	C1849115	01 Jan 2020
CN031204 	C1855722	01 Jan 2020
C2751297	C1832594	01 Jan 2020
C0751509 	C5200932	02 Jan 2020
CN259026	C4479640	02 Jan 2020
CN258287 	C5193070	03 Jan 2020
C1840317	C0399379	03 Jan 2020
C1865144	No longer reported	04 Jan 2020
C1865144	No longer reported	04 Jan 2020
C1970196	C4706555	04 Jan 2020
C1836122	C5201146	04 Jan 2020
C1834659	C3714934	05 Jan 2020
C1832567	C1832560	05 Jan 2020
C4693919	C3150910	06 Jan 2020
C1843633	C1863599	07 Jan 2020
C1864967	C3281201	07 Jan 2020
C1963083 	C0008325	11 Jan 2020
CN068508	C2936783	12 Jan 2020
CN031763 	C1868685	14 Jan 2020
CN259079	C1834690	16 Jan 2020
CN263145 	C3888104	17 Jan 2020
C1837248	C0175754	17 Jan 2020
CN536247	C4016054	18 Jan 2020
CN536249	C0023931	18 Jan 2020
CN536250	C0268358	18 Jan 2020
CN536252	C4511620	18 Jan 2020
CN536254	C4273714	18 Jan 2020
CN753759	C4693941	18 Jan 2020
CN753760	No longer reported	18 Jan 2020
CN753760	No longer reported	18 Jan 2020
CN757793	C4693941	18 Jan 2020
CN757797 	C0036875	18 Jan 2020
CN776820	CN118946	18 Jan 2020
CN778766	CN118946	18 Jan 2020
CN807951	C1719700	18 Jan 2020
CN776821 	CN263166	19 Jan 2020
CN034812	C4551861	20 Jan 2020
CN239176 	C4551984	21 Jan 2020
CN207484	C1266184	24 Jan 2020
CN260129	C4310727	25 Jan 2020
CN260153	C4693133	25 Jan 2020
CN769091 	C4693133	25 Jan 2020
CN239258	C0013903	26 Jan 2020
CN176898 	C1858854	26 Jan 2020
C4015968 	No longer reported	26 Jan 2020
C4310875	C4721887	27 Jan 2020
CN005217	C4021244	27 Jan 2020
CN000269	C4025863	27 Jan 2020
CN001262	C0029408	27 Jan 2020
CN002159	C0151311	27 Jan 2020
CN004700 	No longer reported	27 Jan 2020
CN211498	No longer reported	27 Jan 2020
CN211498	No longer reported	27 Jan 2020
CN176902 	No longer reported	27 Jan 2020
CN259011	C4722258	27 Jan 2020
CN259012	C4748876	27 Jan 2020
CN228623 	CN201732	29 Jan 2020
CN259034	C3463897	01 Feb 2020
CN236772	C5399785	02 Feb 2020
CN118835 	C0432291	02 Feb 2020
CN260038	C1843807	02 Feb 2020
CN258292 	C5193073	06 Feb 2020
CN220387 	C1838103	08 Feb 2020
CN004565	C1708371	09 Feb 2020
CN242219	C0281267	19 Feb 2020
CN002282	C0002395	19 Feb 2020
CN002282	C0002395	19 Feb 2020
C1844664	C0011854	22 Feb 2020
CN229103 	CN263331	01 Mar 2020
CN263288 	C5394069	01 Mar 2020
CN263333 	C0266642	02 Mar 2020
CN263336 	C2676021	02 Mar 2020
CN263339 	C4017209	02 Mar 2020
CN259076 	C5193114	07 Mar 2020
C1282983 	CN281733	22 Mar 2020
C0473878 	C0010678	22 Mar 2020
CN263323	C1832648	23 Mar 2020
CN221580	C4021133	04 Apr 2020
C3279974	C0406443	17 Apr 2020
CN259828 	No longer reported	18 Apr 2020
CN202474 	CN274613	18 Apr 2020
CN200478 	C0030185	18 Apr 2020
CN273352 	C0030185	19 Apr 2020
CN258825	C2931783	21 Apr 2020
CN239286	C2931418	21 Apr 2020
CN074234 	CN280492	23 Apr 2020
CN074246 	C0020480	23 Apr 2020
CN239450 	CN280257	23 Apr 2020
CN263058 	CN280315	23 Apr 2020
CN073087 	C1708350	23 Apr 2020
CN160484 	C1865295	26 Apr 2020
CN230163 	C0339510	26 Apr 2020
CN258826	C2673922	26 Apr 2020
CN235080	C1956147	26 Apr 2020
CN263073	CN043626	27 Apr 2020
C1850654	C2930978	27 Apr 2020
CN001967	C0151699	27 Apr 2020
C1857801	No longer reported	28 Apr 2020
C1857801	No longer reported	28 Apr 2020
CN236663	C0151699	30 Apr 2020
CN029623 	C0155120	09 May 2020
CN229570 	C1843920	09 May 2020
CN181232 	CN280894	12 May 2020
CN181232	CN280894	12 May 2020
CN181232 	CN280894	13 May 2020
CN911503 	C0019555	14 May 2020
CN221583	C3266076	20 May 2020
CN231743 	C4049066	22 May 2020
CN029768 	CN280943	26 May 2020
C4021586	C4749301	26 May 2020
CN036666 	C0265475	28 May 2020
CN037257 	C0265438	28 May 2020
CN244901 	C0272203	28 May 2020
CN280653 	C0272324	28 May 2020
C4693797	C1840779	28 May 2020
CN239191	C0019243	02 Jun 2020
CN280947 	C5394404	05 Jun 2020
CN206264	C1334749	05 Jun 2020
CN207457 	C1710501	05 Jun 2020
CN207458 	C1710500	05 Jun 2020
CN207459 	C1710499	05 Jun 2020
CN072455 	C3839822	05 Jun 2020
CN235627	C0175709	07 Jun 2020
CN280974	CN263144	07 Jun 2020
CN281899 	C1609535	11 Jun 2020
CN281895 	C0041330	11 Jun 2020
CN281897 	C0085311	11 Jun 2020
CN281889 	C0206525	11 Jun 2020
CN281890 	C0153252	11 Jun 2020
CN281893 	C0043102	11 Jun 2020
CN281883 	C0023049	11 Jun 2020
CN281885 	C0162700	11 Jun 2020
CN281879 	C0038160	11 Jun 2020
CN281669 	C0020091	11 Jun 2020
CN281671 	C0085423	11 Jun 2020
CN281667 	C0596773	11 Jun 2020
CN281809 	C0024081	11 Jun 2020
CN281812 	C0039132	11 Jun 2020
CN281795 	C0041326	11 Jun 2020
CN281790 	C1328252	11 Jun 2020
CN281791 	C0032302	11 Jun 2020
CN281787 	C0554634	11 Jun 2020
CN281788 	C0023241	11 Jun 2020
CN281789 	C0041316	11 Jun 2020
CN281765 	C0009450	11 Jun 2020
CN281772 	C0275904	11 Jun 2020
CN281778 	C0041312	11 Jun 2020
CN281754 	C0033817	11 Jun 2020
CN281757 	C3687173	11 Jun 2020
CN281764 	C1318973	11 Jun 2020
CN281749 	C0008680	11 Jun 2020
CN281744 	C0043124	11 Jun 2020
CN281739 	C0494039	11 Jun 2020
CN281741 	C0302363	11 Jun 2020
CN281939 	C0275594	11 Jun 2020
CN281935 	C1405301	11 Jun 2020
CN281918 	C0032858	11 Jun 2020
CN281923 	C0277108	11 Jun 2020
CN231145	No longer reported	12 Jun 2020
CN231145	No longer reported	12 Jun 2020
C3149134	No longer reported	12 Jun 2020
C3149134	No longer reported	12 Jun 2020
CN269186 	CN282527	14 Jun 2020
CN273087	C0018784	18 Jun 2020
C0035865 	C0919833	19 Jun 2020
C1333426 	C4518194	19 Jun 2020
C0334359 	C3839184	19 Jun 2020
C3661988 	No longer reported	19 Jun 2020
C4303790 	C1848213	19 Jun 2020
C4302956 	CN274558	19 Jun 2020
C1274224 	CN277393	19 Jun 2020
C4304095 	CN273068	19 Jun 2020
C4303540 	CN275341	19 Jun 2020
C4477032 	No longer reported	19 Jun 2020
C4531118 	No longer reported	19 Jun 2020
C4476794 	No longer reported	19 Jun 2020
C4310861 	C4284588	19 Jun 2020
C1868148 	No longer reported	19 Jun 2020
C3151195 	CN238711	19 Jun 2020
C0271563 	CN239262	19 Jun 2020
C0265278 	C5235036	19 Jun 2020
C1855790 	CN238682	19 Jun 2020
C2748684 	C2712133	19 Jun 2020
C3149653 	C4025588	19 Jun 2020
C0026147 	C0398368	19 Jun 2020
C1096646 	C2242708	19 Jun 2020
C1859410 	No longer reported	19 Jun 2020
C4073000 	CN231931	19 Jun 2020
C4073001 	CN231932	19 Jun 2020
C4015958 	CN235581	19 Jun 2020
C2712340 	C0013404	19 Jun 2020
C2750932 	C1842581	19 Jun 2020
C4317218 	CN225918	19 Jun 2020
C4021854 	No longer reported	19 Jun 2020
C1839796 	C1836996	19 Jun 2020
C1837271 	C1859241	19 Jun 2020
C0265307 	C5234850	19 Jun 2020
C4022923 	No longer reported	19 Jun 2020
C4021097 	C0853225	19 Jun 2020
C4021139 	CN216025	19 Jun 2020
C4023325 	C5394435	19 Jun 2020
C4024804 	CN212904	19 Jun 2020
C4023647 	No longer reported	19 Jun 2020
C4024806 	No longer reported	19 Jun 2020
C4024855 	C0241267	19 Jun 2020
C4024977 	C0270971	19 Jun 2020
C4025221 	No longer reported	19 Jun 2020
C4025127 	C1868550	19 Jun 2020
C4476541 	C0162871	19 Jun 2020
C1866208 	CN211363	19 Jun 2020
C4025333 	CN210939	19 Jun 2020
C4025343 	No longer reported	19 Jun 2020
C4025608 	No longer reported	19 Jun 2020
C4025633 	No longer reported	19 Jun 2020
C4025425 	No longer reported	19 Jun 2020
C4025742 	No longer reported	19 Jun 2020
C1836729 	CN209515	19 Jun 2020
C4025793 	No longer reported	19 Jun 2020
C4476529 	C0085215	19 Jun 2020
C1837531 	C0156394	19 Jun 2020
C1835128 	C1857657	19 Jun 2020
C0234260 	C2364082	19 Jun 2020
C3276546 	CN181675	19 Jun 2020
C3280753 	CN168752	19 Jun 2020
C4017380 	CN235432	19 Jun 2020
C0349640 	C1292772	19 Jun 2020
C1827582 	CN158544	19 Jun 2020
C3554516 	CN166604	19 Jun 2020
C3280703 	CN119609	19 Jun 2020
C1828420 	CN158543	19 Jun 2020
C3276238 	CN116433	19 Jun 2020
C3151266 	CN077603	19 Jun 2020
C3151582 	C1850077	19 Jun 2020
C3150957 	C3279092	19 Jun 2020
C4509837 	CN282494	19 Jun 2020
C4015840 	No longer reported	19 Jun 2020
C4015841 	No longer reported	19 Jun 2020
C4015883 	C1862554	19 Jun 2020
C1862242 	CN071509	19 Jun 2020
C1862599 	C4551990	19 Jun 2020
C1862076 	No longer reported	19 Jun 2020
C4015925 	C2986382	19 Jun 2020
C3888201 	C4749152	19 Jun 2020
C1858582 	CN071464	19 Jun 2020
C1852448 	C1858679	19 Jun 2020
C1852422 	C3888390	19 Jun 2020
C4016027 	No longer reported	19 Jun 2020
C1851468 	CN071300	19 Jun 2020
C1851509 	CN071303	19 Jun 2020
C0740342 	C3495483	19 Jun 2020
C4016107 	C4225628	19 Jun 2020
C3150401 	C3501643	19 Jun 2020
C1840513 	CN070080	19 Jun 2020
C1841794 	No longer reported	19 Jun 2020
C3551756 	CN069993	19 Jun 2020
C4016251 	C2986382	19 Jun 2020
C4016295 	C4749054	19 Jun 2020
C1833856 	CN069945	19 Jun 2020
C1857769 	C3888097	19 Jun 2020
C4017550 	CN069815	19 Jun 2020
C4017552 	C3889588	19 Jun 2020
C1867236 	C1867237	19 Jun 2020
C1866980 	No longer reported	19 Jun 2020
C4016365 	C1292175	19 Jun 2020
C4016397 	No longer reported	19 Jun 2020
C4016473 	CN069580	19 Jun 2020
C4016505 	C4225593	19 Jun 2020
C4016506 	CN069535	19 Jun 2020
C2677643 	C5193180	19 Jun 2020
C1838548 	No longer reported	19 Jun 2020
C1838721 	CN069267	19 Jun 2020
C1838344 	C3496202	19 Jun 2020
C2677426 	No longer reported	19 Jun 2020
C4016672 	CN069232	19 Jun 2020
C2677241 	No longer reported	19 Jun 2020
C2677103 	C5445164	19 Jun 2020
C4016796 	C5231530	19 Jun 2020
C4016911 	CN068899	19 Jun 2020
C1858964 	No longer reported	19 Jun 2020
C4016937 	No longer reported	19 Jun 2020
C3150170 	C3148872	19 Jun 2020
C4016941 	C5231533	19 Jun 2020
C4016987 	CN970542	19 Jun 2020
C4016991 	C0268624	19 Jun 2020
C1842297 	No longer reported	19 Jun 2020
C1842481 	C3279392	19 Jun 2020
C1837439 	CN068531	19 Jun 2020
C4017174 	C5193213	19 Jun 2020
C4017192 	C4749111	19 Jun 2020
C4017215 	CN068484	19 Jun 2020
C1969800 	CN068458	19 Jun 2020
C3280095 	CN068456	19 Jun 2020
C4017311 	C0342701	19 Jun 2020
C2673970 	C0270962	19 Jun 2020
C0432130 	C0265240	19 Jun 2020
C1846007 	C1846006	19 Jun 2020
C2673498 	C3668935	19 Jun 2020
C2673495 	C2673497	19 Jun 2020
C1853221 	CN043357	19 Jun 2020
C2751364 	C4304672	19 Jun 2020
C2751367 	C1847903	19 Jun 2020
C2751533 	CN043330	19 Jun 2020
C1846221 	C0342482	19 Jun 2020
C1836547 	C1836545	19 Jun 2020
C1855370 	C2930990	19 Jun 2020
C2676985 	C3495488	19 Jun 2020
C2749054 	CN043158	19 Jun 2020
C1845893 	C1845892	19 Jun 2020
C1844378 	CN043100	19 Jun 2020
C1859587 	C1859049	19 Jun 2020
C0521808 	C4225445	19 Jun 2020
C3277851 	C4017190	19 Jun 2020
C2750026 	CN042968	19 Jun 2020
C1863238 	C1863236	19 Jun 2020
C1863237 	CN042911	19 Jun 2020
C2750262 	C3714844	19 Jun 2020
C2674152 	C1861171	19 Jun 2020
C1968747 	CN042792	19 Jun 2020
C1856446 	C3502215	19 Jun 2020
C1862230 	C3501833	19 Jun 2020
C1862231 	C3501834	19 Jun 2020
C2674025 	CN042687	19 Jun 2020
C2720202 	CN042705	19 Jun 2020
C3150944 	C3277700	19 Jun 2020
C1862207 	CN042606	19 Jun 2020
C1835439 	CN042641	19 Jun 2020
C2931378 	C3710741	19 Jun 2020
C1969369 	CN036044	19 Jun 2020
C2931695 	CN280649	19 Jun 2020
C0431413 	C0750932	19 Jun 2020
C0017758 	C2939465	19 Jun 2020
C1332441 	CN033492	19 Jun 2020
C1846168 	C3266731	19 Jun 2020
C1861253 	No longer reported	19 Jun 2020
C2936907 	C1838979	19 Jun 2020
C1832110 	No longer reported	19 Jun 2020
C0406582 	CN969896	19 Jun 2020
C0406578 	CN969884	19 Jun 2020
C1862200 	CN029818	19 Jun 2020
C4013035 	C4551998	19 Jun 2020
C1863198 	CN028925	19 Jun 2020
C0271583 	C0342388	19 Jun 2020
C1859843 	C1857588	19 Jun 2020
C3277900 	C0265998	19 Jun 2020
C2720286 	C1959620	19 Jun 2020
C1384901 	C0555214	19 Jun 2020
C1855731 	C4551899	19 Jun 2020
C1853205 	C5201145	19 Jun 2020
C1827409 	C1837154	19 Jun 2020
C1840471 	C1837657	19 Jun 2020
CN263284 	C5231499	19 Jun 2020
C1851490 	C4551637	19 Jun 2020
C4538570 	C0033680	19 Jun 2020
C1865595 	C1835851	19 Jun 2020
C2936660 	C0017155	19 Jun 2020
C2678471 	C5193016	19 Jun 2020
C1855552 	C5193006	19 Jun 2020
C3806917 	C1833340	19 Jun 2020
C1855500 	C1838652	19 Jun 2020
C1835161 	C2930981	19 Jun 2020
C1835160 	C2930982	19 Jun 2020
C3891448 	C0027794	19 Jun 2020
C1859206 	C1861669	19 Jun 2020
C0016842 	C2051831	19 Jun 2020
C0268496 	C2936910	19 Jun 2020
C4310809 	C0344559	19 Jun 2020
C4551904 	C4551903	19 Jun 2020
C0268360 	C0268358	19 Jun 2020
C0403645 	C5231389	19 Jun 2020
C0575897 	C4759712	19 Jun 2020
C1861303 	C5201146	19 Jun 2020
C3888417 	C0266537	19 Jun 2020
C3805410 	C0524524	19 Jun 2020
C2931196 	C0010273	19 Jun 2020
C1970016 	C2931011	19 Jun 2020
C1857345 	C0795934	19 Jun 2020
C0399380 	C1527284	19 Jun 2020
C0271135 	C1271219	19 Jun 2020
C0543533 	C0268553	19 Jun 2020
C1868000 	C5193005	19 Jun 2020
C1848295 	C1845667	19 Jun 2020
C1839115 	C2931228	19 Jun 2020
CN281726 	C0020413	19 Jun 2020
CN281728 	C0035920	19 Jun 2020
CN281729 	C0030424	19 Jun 2020
CN281730 	C0025007	19 Jun 2020
CN281731 	C0017589	19 Jun 2020
CN281732 	C3714602	19 Jun 2020
CN281734 	C0018190	19 Jun 2020
CN281735 	C0039223	19 Jun 2020
CN281736 	C0024759	19 Jun 2020
CN281683 	C0243025	19 Jun 2020
CN281684 	C0085568	19 Jun 2020
CN281685 	C0080040	19 Jun 2020
CN281686 	C0276180	19 Jun 2020
CN281689 	C0546999	19 Jun 2020
CN281698 	C0028242	19 Jun 2020
C0241910 	C4721555	19 Jun 2020
CN281699 	C0037354	19 Jun 2020
CN281700 	C0030409	19 Jun 2020
CN281701 	C1955629	19 Jun 2020
CN281702 	C0014057	19 Jun 2020
CN281703 	C0268095	19 Jun 2020
CN281704 	C0001261	19 Jun 2020
CN281705 	C0023788	19 Jun 2020
CN281706 	C0520779	19 Jun 2020
CN281829 	C0024286	19 Jun 2020
CN281830 	C1527407	19 Jun 2020
CN281831 	C0014059	19 Jun 2020
C3826988 	C0263666	19 Jun 2020
CN281835 	C0034362	19 Jun 2020
CN281836 	C0043167	19 Jun 2020
CN281839 	C0153166	19 Jun 2020
CN281840 	C0027537	19 Jun 2020
CN281841 	C0004576	19 Jun 2020
CN281817 	C0041351	19 Jun 2020
CN281627 	C0153064	19 Jun 2020
CN281818 	C0013100	19 Jun 2020
CN267248 	C0393911	19 Jun 2020
CN264788 	C0086774	19 Jun 2020
CN281819 	C0546996	19 Jun 2020
CN281821 	C0014040	19 Jun 2020
CN281822 	C0028271	19 Jun 2020
CN281823 	C0035436	19 Jun 2020
CN281824 	C0162576	19 Jun 2020
CN281826 	C0041466	19 Jun 2020
CN281827 	C0039614	19 Jun 2020
CN281828 	C0029106	19 Jun 2020
CN281832 	C0085407	19 Jun 2020
CN281833 	C0043388	19 Jun 2020
CN281834 	C0024788	19 Jun 2020
CN281837 	C0041234	19 Jun 2020
CN281838 	C0006309	19 Jun 2020
CN281853 	C0023343	19 Jun 2020
CN281854 	C0041296	19 Jun 2020
CN281855 	C0007361	19 Jun 2020
CN281856 	C0025530	19 Jun 2020
CN281857 	C0035793	19 Jun 2020
CN281858 	C0008055	19 Jun 2020
CN281859 	C0038463	19 Jun 2020
CN281860 	C0008354	19 Jun 2020
CN281861 	C5551334	19 Jun 2020
CN281862 	C0034494	19 Jun 2020
CN281863 	C0343560	19 Jun 2020
CN281864 	C0043395	19 Jun 2020
CN281865 	C0085273	19 Jun 2020
CN281866 	C0085437	19 Jun 2020
CN281867 	C0003177	19 Jun 2020
CN281868 	C0022810	19 Jun 2020
CN281869 	C0086227	19 Jun 2020
CN281870 	C0311386	19 Jun 2020
CN281871 	C0004692	19 Jun 2020
CN281872 	C0037974	19 Jun 2020
C2751311 	C0036069	19 Jun 2020
C2751073 	C5193233	19 Jun 2020
C2751864 	C5193232	19 Jun 2020
C0018413 	C0346178	19 Jun 2020
CN035646 	C5200932	19 Jun 2020
CN265264 	C0011993	19 Jun 2020
CN281843 	C2930868	19 Jun 2020
C0795837 	C4082793	19 Jun 2020
CN281847 	C1697878	19 Jun 2020
CN267736 	C0040381	19 Jun 2020
CN265186 	C1955861	19 Jun 2020
CN270045 	C4274284	19 Jun 2020
CN281727 	C0270707	19 Jun 2020
CN281725 	C0276657	19 Jun 2020
CN281672 	C1852467	19 Jun 2020
CN264241 	C1833699	19 Jun 2020
CN263335 	C1839332	19 Jun 2020
CN263318 	C1866559	19 Jun 2020
C0432267 	C1848412	19 Jun 2020
C2751777 	C2751778	19 Jun 2020
C1835592 	C3279904	19 Jun 2020
CN281940 	C0012517	19 Jun 2020
CN200394 	C5190706	19 Jun 2020
CN281690 	C2931717	19 Jun 2020
CN281691 	C0002831	19 Jun 2020
CN281692 	C0392662	19 Jun 2020
CN281693 	C0004030	19 Jun 2020
CN281694 	C0005716	19 Jun 2020
CN281695 	C0282312	19 Jun 2020
CN281696 	C0007947	19 Jun 2020
CN281786 	C0009186	19 Jun 2020
CN281799 	C1562462	19 Jun 2020
CN271945 	C4304716	19 Jun 2020
CN281800 	C0010414	19 Jun 2020
CN281801 	C0010418	19 Jun 2020
CN281804 	C0010678	19 Jun 2020
CN281814 	C0012546	19 Jun 2020
CN281942 	C1541923	19 Jun 2020
CN281947 	C4275262	19 Jun 2020
C2062326 	C1262481	19 Jun 2020
CN281948 	C0339166	19 Jun 2020
CN281949 	C0018889	19 Jun 2020
CN281844 	C4518469	19 Jun 2020
CN281848 	C0022802	19 Jun 2020
CN281850 	C0023364	19 Jun 2020
CN281707 	C0023860	19 Jun 2020
CN281708 	C0023968	19 Jun 2020
CN281709 	C0024530	19 Jun 2020
CN281711 	C0025306	19 Jun 2020
CN281712 	C0024449	19 Jun 2020
CN264619 	C3888044	19 Jun 2020
CN281713 	C0027927	19 Jun 2020
CN281715 	C0040561	19 Jun 2020
CN281716 	C0019103	19 Jun 2020
CN281717 	C0029001	19 Jun 2020
CN281718 	C1535939	19 Jun 2020
CN281719 	C0023524	19 Jun 2020
CN281720 	C0041188	19 Jun 2020
CN281721 	C0034686	19 Jun 2020
CN281722 	C0035585	19 Jun 2020
CN281723 	C1175175	19 Jun 2020
CN281724 	C0013371	19 Jun 2020
CN281673 	C0038034	19 Jun 2020
CN281675 	C0040197	19 Jun 2020
CN281676 	C0014061	19 Jun 2020
CN281677 	C0040553	19 Jun 2020
CN281678 	C0040592	19 Jun 2020
CN281680 	C0019104	19 Jun 2020
CN281681 	C0751583	19 Jun 2020
CN281682 	C0043541	19 Jun 2020
C0010690 	C2931187	19 Jun 2020
CN074265 	C4759774	19 Jun 2020
C3887992 	C0220998	19 Jun 2020
C3280381 	C4706555	19 Jun 2020
CN226157 	C5190799	19 Jun 2020
C3809049 	C4747715	19 Jun 2020
C4020893 	C0008924	19 Jun 2020
C3809503 	C4747737	19 Jun 2020
C1861383 	C4551570	19 Jun 2020
C3810043 	C4747743	19 Jun 2020
C3810242 	C4554120	19 Jun 2020
C4014628 	C4747769	19 Jun 2020
C0266423 	C4759656	19 Jun 2020
C0520927 	C0729353	19 Jun 2020
C1866190 	C0266597	19 Jun 2020
C4072872 	C4551714	19 Jun 2020
C4072867 	C4551715	19 Jun 2020
C1850284 	C0155016	19 Jun 2020
C1862859 	C4551675	19 Jun 2020
C4692845 	C0005747	19 Jun 2020
C4020877 	C1865332	19 Jun 2020
C1860137 	C0574769	19 Jun 2020
C1857397 	C0341703	19 Jun 2020
C0917805 	C0007787	19 Jun 2020
C1861028 	C0040588	19 Jun 2020
C1846143 	C4025708	19 Jun 2020
C1842710 	C5139035	19 Jun 2020
C1859123 	C0432073	19 Jun 2020
C0410740 	C4759671	19 Jun 2020
C4025346 	C5139037	19 Jun 2020
C4025348 	C5139036	19 Jun 2020
C4025344 	C5139039	19 Jun 2020
C4025345 	C5139038	19 Jun 2020
C4025341 	C5139040	19 Jun 2020
C1862058 	C0395905	19 Jun 2020
C3149846 	C4025294	19 Jun 2020
C1864682 	C0277827	19 Jun 2020
C1849545 	C4038738	19 Jun 2020
C1969284 	C4025055	19 Jun 2020
C4025029 	C0340213	19 Jun 2020
C4025066 	C0399545	19 Jun 2020
C3149798 	C0234632	19 Jun 2020
C4024887 	C0423421	19 Jun 2020
C1857589 	C5201048	19 Jun 2020
C0746959 	C4551997	19 Jun 2020
C4072869 	C0521683	19 Jun 2020
C4024687 	C0343149	19 Jun 2020
C1857118 	C4551566	19 Jun 2020
C1855208 	C4551464	19 Jun 2020
C1840396 	C1266142	19 Jun 2020
C4023673 	C5139042	19 Jun 2020
C1968580 	C0426440	19 Jun 2020
C2673755 	C1861336	19 Jun 2020
C4023668 	C5139649	19 Jun 2020
C4023670 	C5139043	19 Jun 2020
C4023663 	C5139046	19 Jun 2020
C4023664 	C5139045	19 Jun 2020
C4023667 	C5139044	19 Jun 2020
C4023658 	C5139048	19 Jun 2020
C4023661 	C5139047	19 Jun 2020
C4023652 	C5139050	19 Jun 2020
C4023653 	C5139049	19 Jun 2020
C4023623 	C5139052	19 Jun 2020
C4023624 	C5139650	19 Jun 2020
C4023642 	C5139051	19 Jun 2020
C4023617 	C5139054	19 Jun 2020
C4021855 	C5139053	19 Jun 2020
C4023600 	C5139057	19 Jun 2020
C4023605 	C5139056	19 Jun 2020
C4023606 	C5139055	19 Jun 2020
C4023599 	C5139058	19 Jun 2020
C4023590 	C5139059	19 Jun 2020
C4023589 	C5139060	19 Jun 2020
C4020758 	C4023543	19 Jun 2020
C2931081 	C4551900	19 Jun 2020
C2674502 	C0266604	19 Jun 2020
C0007684 	C4759823	19 Jun 2020
C4023311 	C3164429	19 Jun 2020
C4023260 	C0345140	19 Jun 2020
C4023173 	C2315229	19 Jun 2020
C0042880 	C5139061	19 Jun 2020
C4023103 	C5139062	19 Jun 2020
C4023058 	C5139063	19 Jun 2020
C4022972 	C5139064	19 Jun 2020
C4021104 	C0278045	19 Jun 2020
C4021105 	C0522153	19 Jun 2020
C3279459 	C0240309	19 Jun 2020
C0431480 	C1862689	19 Jun 2020
C4022031 	C5139417	19 Jun 2020
C4020711 	C0085200	19 Jun 2020
C4020698 	C4021947	19 Jun 2020
C4022017 	C0281986	19 Jun 2020
C1850003 	C0750292	19 Jun 2020
C4022494 	C0376628	19 Jun 2020
C3277774 	C0267071	19 Jun 2020
CN228162 	C5190598	19 Jun 2020
CN228166 	C5191419	19 Jun 2020
C4072926 	C5139108	19 Jun 2020
C4072927 	C5139109	19 Jun 2020
C4073002 	C5139110	19 Jun 2020
C4073003 	C4732755	19 Jun 2020
C4073133 	C0347418	19 Jun 2020
C1850900 	C0349532	19 Jun 2020
C1845868 	C0424688	19 Jun 2020
C4310751 	C1291328	19 Jun 2020
CN239393 	C4763519	19 Jun 2020
CN239585 	C4760799	19 Jun 2020
CN240759 	C5192681	19 Jun 2020
C0241669 	C0948441	19 Jun 2020
CN252656 	C5204605	19 Jun 2020
CN244404 	C5190631	19 Jun 2020
CN924908 	C5191055	19 Jun 2020
C1112625 	C4316985	19 Jun 2020
