"id","Associated Disease","Disease Ontology Description","UniProt Description","Protein Count","Direct Association Count","Mondo ID"
7400,"Joubert syndrome 22",,"A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly.",1,1,"MONDO:0014297"
7401,"Joubert syndrome 23",,"A mild form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly.",1,1,"MONDO:0014664"
7402,"Joubert syndrome 24",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly.",1,1,"MONDO:0014724"
7403,"Joubert syndrome 25",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS25 clinical manifestations appear to be confined to the neurologic system. JBTS25 inheritance is autosomal recessive.",1,1,"MONDO:0014770"
7404,"Joubert syndrome 26",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS26 inheritance is autosomal recessive.",1,1,"MONDO:0014771"
7405,"Joubert syndrome 27",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS27 inheritance is autosomal recessive.",1,1,"MONDO:0014927"
7406,"Joubert syndrome 28",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS28 inheritance is autosomal recessive.",1,1,"MONDO:0014928"
7407,"Joubert syndrome 3","A Joubert syndrome that has_material_basis_in homozygous mutation in the AHI1 gene on chromosome 6q23.3.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease. Joubert syndrome type 3 shows minimal extra central nervous system involvement and appears not to be associated with renal dysfunction.",1,1,"MONDO:0012078"
7408,"Joubert syndrome 30",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS30 inheritance is autosomal recessive.",1,1,"MONDO:0033308"
7409,"Joubert syndrome 31",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS31 inheritance is autosomal recessive.",1,1,"MONDO:0033310"
7410,"Joubert syndrome 32",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS32 inheritance is autosomal recessive.",1,1,"MONDO:0033309"
7411,"Joubert syndrome 33",,"A form of Joubert syndrome, a disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy, renal disease, liver fibrosis, and polydactyly. JBTS33 inheritance is autosomal recessive.",1,1,"MONDO:0033311"
7412,"JOUBERT SYNDROME 34",,,1,1,
7413,"JOUBERT SYNDROME 4 (disorder)",,,3,3,
7414,"Joubert syndrome 5","A Joubert syndrome that has_material_basis_in mutation in the CEP290 gene on chromosome 12q21.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease. Joubert syndrome type 5 shares the neurologic and neuroradiologic features of Joubert syndrome together with severe retinal dystrophy and/or progressive renal failure characterized by nephronophthisis.",1,1,"MONDO:0012432"
7415,"Joubert syndrome 6","A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the TMEM67 on chromosome 8q22.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease.",1,1,"MONDO:0012539"
7416,"Joubert syndrome 7","A Joubert syndrome that has_material_basis_in mutation in the RPGRIP1L gene on chromosome 16q12.2.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease.",1,1,"MONDO:0012694"
7417,"Joubert syndrome 8","A Joubert syndrome that has_material_basis_in mutation in the ARL13B gene on chromosome 3q11.1-q11.2.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease.",1,1,"MONDO:0012855"
7418,"Joubert syndrome 9","A Joubert syndrome that has_material_basis_in homozygous or compound heterozygous mutation in the CC2D2A gene on chromosome 4p15.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease.",1,1,"MONDO:0012849"
7419,"JOUBERT SYNDROME 9/15, DIGENIC",,,1,1,
7420,"Joubert syndrome with Jeune asphyxiating thoracic dystrophy",,,3,2,"MONDO:0018342"
7421,"Joubert syndrome with ocular defect",,,7,5,"MONDO:0016364"
7422,"Joubert syndrome with oculorenal defect",,,7,7,"MONDO:0009480"
7423,"Joubert syndrome with renal defect","A Joubert syndrome that has_material_basis_in deletions of the NPHP1 gene on chromosome 2q13.","A disorder presenting with cerebellar ataxia, oculomotor apraxia, hypotonia, neonatal breathing abnormalities and psychomotor delay. Neuroradiologically, it is characterized by cerebellar vermian hypoplasia/aplasia, thickened and reoriented superior cerebellar peduncles, and an abnormally large interpeduncular fossa, giving the appearance of a molar tooth on transaxial slices (molar tooth sign). Additional variable features include retinal dystrophy and renal disease. Joubert syndrome type 4 is a phenotypically mild form.",3,3,"MONDO:0012308"
7424,"Juberg-Marsidi syndrome",,,1,1,"MONDO:0019776"
7425,"jugulotympanic paraganglioma",,,1,1,"MONDO:0021064"
7426,"junctional epidermolysis bullosa","An epidermolysis bullosa that is characterized by recurrent blistering located in the lamina lucida of the basement membrane secondary to minor trauma, which can cause limited wounds, dehydration, electrolyte abnormalities, severe infection, among other issues, and has_material_basis_in mutation in genes related to laminin 332, which strengthens the skin.",,8,6,"MONDO:0017612"
7427,"junctional epidermolysis bullosa Herlitz type",,"An infantile and lethal form of junctional epidermolysis bullosa, a group of blistering skin diseases characterized by tissue separation which occurs within the dermo-epidermal basement In the Herlitz type, death occurs usually within the first six months of life. Occasionally, children survive to teens. It is marked by bullous lesions at birth and extensive denudation of skin and mucous membranes that may be hemorrhagic.",3,3,"MONDO:0009182"
7428,"junctional epidermolysis bullosa inversa",,,4,4,"MONDO:0019308"
7429,"junctional epidermolysis bullosa with pyloric atresia","A junctional epidermolysis bullosa characterized by generalized blistering at birth with congenital atresia of the pylorus and rarely of other portions of the gastrointestinal tract and that has_material_basis_in  mutations in the ITGB4 or ITGA6 genes.","An autosomal recessive, frequently lethal, epidermolysis bullosa with variable involvement of skin, nails, mucosa, and with variable effects on the digestive system. It is characterized by mucocutaneous fragility, aplasia cutis congenita, and gastrointestinal atresia, which most commonly affects the pylorus. Pyloric atresia is a primary manifestation rather than a scarring process secondary to epidermolysis bullosa.",3,3,"MONDO:0009183"
7430,"junctional epidermolysis bullosa, non-Herlitz type",,"A non-lethal, adult form of junctional epidermolysis bullosa characterized by life-long blistering of the skin, associated with hair and tooth abnormalities.",5,5,"MONDO:0009180"
7431,"juvenile absence epilepsy","An adolescence-adult electroclinical syndrome statring between the age of ten to 17 years characterized by the occurrence of typical absence seizures.",,9,8,"MONDO:0011876"
7432,"juvenile amyotrophic lateral sclerosis",,,4,4,"MONDO:0017593"
7433,"Juvenile arthritis",,,129,129,
7434,"juvenile cataract-microcornea-renal glucosuria syndrome",,"A form of cataract, an opacification of the crystalline lens of the eye that frequently results in visual impairment or blindness. Opacities vary in morphology, are often confined to a portion of the lens, and may be static or progressive. In general, the more posteriorly located and dense an opacity, the greater the impact on visual function. CTRCT47 is characterized by the association of cataract with microcornea and renal glucosuria. Microcornea is defined by a corneal diameter inferior to 10 mm in both meridians in an otherwise normal eye. Renal glucosuria is defined by elevated glucose level in the urine without hyperglycemia and without evidence of morphological renal anomalies.",1,1,"MONDO:0012786"
7435,"juvenile dermatomyositis",,,1266,1266,"MONDO:0008054"
7436,"Juvenile hemochromatosis",,,2,2,
7437,"juvenile Huntington disease",,,12,12,"MONDO:0016621"
7438,"juvenile hyaline fibromatosis",,,1,1,"MONDO:0016071"
7439,"juvenile idiopathic arthritis","A rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located_in joint.","An inflammatory articular disorder with systemic-onset beginning before the age of 16. It represents a subgroup of juvenile arthritis associated with severe extraarticular features and occasionally fatal complications. During active phases of the disorder, patients display a typical daily spiking fever, an evanescent macular rash, lymphadenopathy, hepatosplenomegaly, serositis, myalgia and arthritis.",314,314,"MONDO:0011429"
7440,"Juvenile macular degeneration",,,2,2,
7441,"juvenile myelomonocytic leukemia","A myelodysplastic/myeloproliferative neoplasm that is characterized by the uncontrolled growth of monocytes.","An aggressive pediatric myelodysplastic syndrome/myeloproliferative disorder characterized by malignant transformation in the hematopoietic stem cell compartment with proliferation of differentiated progeny. Patients have splenomegaly, enlarged lymph nodes, rashes, and hemorrhages.",21,21,"MONDO:0011908"
7442,"juvenile myoclonic epilepsy","A adolescence-adult electroclinical syndrome that is characterized by brief, involuntary twitching of a muscle or a group of muscles (myoclonus) early in the morning with onset between 12 and 18 years.",,8,7,"MONDO:0009696"
7443,"juvenile nephropathic cystinosis",,"A form of cystinosis, a lysosomal storage disease due to defective transport of cystine across the lysosomal membrane. This results in cystine accumulation and crystallization in the cells causing widespread tissue damage. Late-onset juvenile or adolescent nephropathic cystinosis is an intermediated form, manifesting first at age 10 to 12 years with proteinuria due to glomerular damage rather than with the manifestations of tubular damage that occur first in infantile cystinosis. There is no excess amino aciduria and stature is normal. Photophobia, late development of pigmentary retinopathy, and chronic headaches are features.",1,1,"MONDO:0009066"
7444,"Juvenile Neuroaxonal Dystrophy",,,2,2,
7445,"juvenile neuronal ceroid lipofuscinosis",,,8,4,"MONDO:0019262"
7446,"juvenile onset Parkinson disease 19A","A Parkinson's disease that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.","An early-onset form of Parkinson disease, a complex neurodegenerative disorder characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain. PARK19B is characterized by symptoms onset in the third-to-fifth decade, slow disease progression, and prominent. response to dopaminergic therapies. Inheritance is autosomal recessive.",1,1,"MONDO:0014231"
7447,"juvenile open angle glaucoma",,,4,4,"MONDO:0020367"
7448,"Juvenile osteoporosis",,,3,3,
7449,"juvenile Paget disease",,"An autosomal recessive, juvenile-onset form of Paget disease, a disorder of bone remodeling characterized by increased bone turnover affecting one or more sites throughout the skeleton, primarily the axial skeleton. Osteoclastic overactivity followed by compensatory osteoblastic activity leads to a structurally disorganized mosaic of bone (woven bone), which is mechanically weaker, larger, less compact, more vascular, and more susceptible to fracture than normal adult lamellar bone. PDB5 clinical manifestations include short stature, progressive long bone deformities, fractures, vertebral collapse, skull enlargement, and hyperostosis with progressive deafness.",1,1,"MONDO:0009394"
7450,"juvenile pilocytic astrocytoma",,,25,25,"MONDO:0003999"
7451,"Juvenile Polyposis Coli",,,3,3,
7452,"JUVENILE POLYPOSIS OF STOMACH",,,3,3,
7453,"juvenile polyposis syndrome",,"Autosomal dominant gastrointestinal hamartomatous polyposis syndrome in which patients are at risk for developing gastrointestinal cancers. The lesions are typified by a smooth histological appearance, predominant stroma, cystic spaces and lack of a smooth muscle core. Multiple juvenile polyps usually occur in a number of Mendelian disorders. Sometimes, these polyps occur without associated features as in JPS; here, polyps tend to occur in the large bowel and are associated with an increased risk of colon and other gastrointestinal cancers.",4,4,"MONDO:0017380"
7454,"juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome",,"JP/HHT syndrome phenotype consists of the coexistence of juvenile polyposis (JIP) and hereditary hemorrhagic telangiectasia (HHT) [MIM:187300] in a single individual. JIP and HHT are autosomal dominant disorders with distinct and non-overlapping clinical features. The former, an inherited gastrointestinal malignancy predisposition, is caused by mutations in SMAD4 or BMPR1A, and the latter is a vascular malformation disorder caused by mutations in ENG or ACVRL1. All four genes encode proteins involved in the transforming-growth-factor-signaling pathway. Although there are reports of patients and families with phenotypes of both disorders combined, the genetic etiology of this association is unknown.",1,1,"MONDO:0008278"
7455,"juvenile primary lateral sclerosis",,"A neurodegenerative disorder which is closely related to but clinically distinct from amyotrophic lateral sclerosis. It is a progressive paralytic disorder which results from dysfunction of the upper motor neurons while the lower neurons are unaffected.",3,3,"MONDO:0011663"
7456,"Juvenile psoriatic arthritis",,,129,129,
7457,"Juvenile Pyruvate Dehydrogenase Complex Deficiency Disease",,,2,2,
7458,"Juvenile Sandhoff Disease",,,1,1,
7459,"juvenile xanthogranuloma",,,4,4,"MONDO:0015534"
7460,"juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome",,"A disease characterized by juvenile-onset diabetes and neurodegeneration, resulting in ataxia, upper-motor-neuron damage, peripheral neuropathy, hearing loss, and cerebral atrophy.",1,1,"MONDO:0014523"
7461,"Juvenile-Onset Still Disease",,,145,145,
7462,"Juvenile-Onset Vitelliform Macular Dystrophy",,,4,4,
7463,"Kabuki syndrome","A syndrome characterized by  multiple congenital anomalies and mental retardation. Other characteristics include a peculiar facial gestalt, short stature, skeletal and visceral abnormalities, cardiac anomalies, and immunological defects.",,7,6,"MONDO:0016512"
7464,"Kabuki syndrome 1",,"A congenital mental retardation syndrome with additional features, including postnatal dwarfism, a peculiar facies characterized by long palpebral fissures with eversion of the lateral third of the lower eyelids, a broad and depressed nasal tip, large prominent earlobes, a cleft or high-arched palate, scoliosis, short fifth finger, persistence of fingerpads, radiographic abnormalities of the vertebrae, hands, and hip joints, and recurrent otitis media in infancy.",2,2,"MONDO:0007843"
7465,"Kabuki syndrome 2",,"A congenital mental retardation syndrome with additional features, including postnatal dwarfism, a peculiar facies characterized by long palpebral fissures with eversion of the lateral third of the lower eyelids, a broad and depressed nasal tip, large prominent earlobes, a cleft or high-arched palate, scoliosis, short fifth finger, persistence of fingerpads, radiographic abnormalities of the vertebrae, hands, and hip joints, and recurrent otitis media in infancy.",2,2,"MONDO:0010465"
7466,"Kahrizi syndrome","An autosomal recessive disease that is characterized by mental retardation, cataracts, coloboma, kyphosis, and coarse facial features and has_material_basis_in mutation in the SRD5A3 gene.","An autosomal recessive neurodevelopmental disorder characterized by mental retardation, cataracts, coloboma, kyphosis, and coarse facial features.",1,1,"MONDO:0012991"
7467,"kallikrein, decreased urinary activity of",,,1,1,"MONDO:0014415"
7468,"Kallmann syndrome","A hypogonadotropic hypogonadism with a defective sense of smell (anosmia or hyposmia).",,34,31,"MONDO:0018800"
7469,"Kallmann syndrome, type 3, recessive",,,6,6,
7470,"Kandinsky Syndrome",,,1,1,
7471,"Kaposi Sarcoma",,,1,1,
7472,"Kaposi sarcoma, susceptibility to",,,1,1,"MONDO:0007845"
7473,"Kaposi's sarcoma","A connective tissue cancer that derives_from lymphatic endothelium, and derives_from spindle cells, results_in_formation_of vascular channels that fill with blood cells, has_material_basis_in Human herpesvirus 8 (HHV8).",,12,12,"MONDO:0005055"
7474,"Kaposi's sarcoma associated with AIDS",,,1,1,
7475,"Kaposi's Sarcoma Skin Lesions",,,9,9,
7476,"kaposiform hemangioendothelioma",,,1,1,"MONDO:0016236"
7477,"Karak Syndrome",,,1,1,
7478,"Kartagener Syndrome",,,38,38,
7479,"karyomegalic interstitial nephritis","An interstitial nephritis characterized by nephritis, interstitial fibrosis, and enlarged and atypical tubular epithelial cell nuclei that has_material_basis_in homozygous or compound heterozygous mutation in the FAN1 gene on chromosome 15q13.3.","A rare kidney disease characterized by chronic tubulointerstitial nephritis associated with massively enlarged tubular epithelial cell nuclei. The clinical picture is associated with recurrent upper respiratory tract infections in addition to chronic kidney disease beginning in the third decade of life.",1,1,"MONDO:0013898"
7480,"KBG syndrome","A syndrome that is characterized by short stature, moderate to severe degrees of mental retardation, developmental abnormalities of the limbs, bones of the spine (vertebrae), extremities, and/or underdevelopment of the bones of the skeleton.","A syndrome characterized by macrodontia of the upper central incisors, distinctive craniofacial findings, short stature, skeletal anomalies, and neurologic involvement that includes global developmental delay, seizures, and intellectual disability.",1,1,"MONDO:0007846"
7481,"Kearns-Sayre syndrome",,,4,4,"MONDO:0010787"
7482,"keloid",,,35,35,"MONDO:0005348"
7483,"Keloid scar",,,1,1,
7484,"Kennedy disease","A spinal muscular dystrophy that has material basis in an X-linked recessive expansion of CAG triplet repeats (glutamine) in exon 1 of AR gene encoding the androgen receptor.","An X-linked recessive form of spinal muscular atrophy. Spinal muscular atrophy refers to a group of neuromuscular disorders characterized by degeneration of the anterior horn cells of the spinal cord, leading to symmetrical muscle weakness and atrophy. SMAX1 occurs only in men. Age at onset is usually in the third to fifth decade of life, but earlier involvement has been reported. It is characterized by slowly progressive limb and bulbar muscle weakness with fasciculations, muscle atrophy, and gynecomastia. The disorder is clinically similar to classic forms of autosomal spinal muscular atrophy.",1,1,"MONDO:0010735"
7485,"Kenny-Caffey syndrome",,,2,2,"MONDO:0016516"
7486,"Kenny-Caffey syndrome, type 2",,,2,2,
7487,"Keppen-Lubinsky syndrome",,"A rare disease characterized by severe developmental delay, intellectual disability, severe generalized lipodystrophy, dysmorphic features including microcephaly, large prominent eyes, narrow nasal bridge, tented upper lip, high palate, open mouth, tightly adherent skin, and aged appearance.",1,1,"MONDO:0013572"
7488,"keratitis","A corneal disease that is characterized by inflammation of the cornea.",,30,8,"MONDO:0003085"
7489,"keratitis fugax hereditaria",,"An autosomal dominant corneal disease that periodically, and fleetingly, affects the corneal endothelium, stroma, and vision, eventually leading to central corneal stromal opacities in some patients. The disease is characterized by unilateral attacks of ocular pain, pericorneal injection, and photophobia. The acute symptoms vanish in 1-2 days but vision remains blurry for several weeks. The attacks start at the age of 3-12 years and can affect either eye. They generally decrease in frequency and get milder with age.",1,1,"MONDO:0007849"
7490,"Keratitis-Ichthyosis-Deafness Syndrome",,,2,2,
7491,"Keratitis, Ichthyosis, and Deafness (KID) Syndrome",,,1,1,
7492,"keratoconus","A corneal disease characterized by structural changes within the cornea causing it to thin and change, leading to a protruding conical shape.",,59,21,"MONDO:0015486"
7493,"keratoconus 1",,"Frequent corneal dystrophy with an incidence that varies from 50 to 230 per 100'000. The cornea assumes a conical shape as a result of a progressive non-inflammatory thinning of the corneal stroma. Keratoconus is most often an isolated sporadic condition with cases of autosomal dominant and autosomal recessive transmission.",2,2,"MONDO:0007851"
7494,"keratoconus 9",,"An autosomal dominant form of keratoconus, a common degenerative corneal disease characterized by progressive, non-inflammatory thinning of the corneal stroma, corneal ectasia, and cone-shaped corneal protrusion that results in reduced vision.",1,1,"MONDO:0054771"
7495,"keratoderma hereditarium mutilans",,"An autosomal dominant disease characterized by hyperkeratosis, constriction on fingers and toes and congenital deafness.",2,2,"MONDO:0007422"
7496,"keratoderma hereditarium mutilans with ichthyosis",,"A variant form of Vohwinkel syndrome without hearing loss and associated with ichthyosiform dermatosis. Clinical features include palmoplantar keratoderma, pseudoainhum and ichthyosis. Compact hyperkeratosis with round retained nuclei and hypergranulosis is observed on skin biopsies.",1,1,"MONDO:0011396"
7497,"Keratoderma palmoplantaris transgrediens",,,1,1,
7498,"Keratoderma, Palmoplantar, Epidermolytic",,,2,2,
7499,"Keratoderma, Palmoplantar, Norrbotten Recessive Type",,,1,1,
7500,"keratolytic winter erythema",,,1,1,"MONDO:0007854"
7501,"Keratoma",,,5,5,
7502,"keratomalacia",,,1,1,"MONDO:0001250"
7503,"keratosis","A skin disease characterized_by growth of keratin on the skin or mucous membranes.",,75,9,"MONDO:0006566"
7504,"Keratosis Blennorrhagica",,,5,5,
7505,"keratosis follicularis spinulosa decalvans, X-linked",,"A rare disorder affecting the skin and the eye. Affected men show thickening of the skin of the neck, ears, and extremities, especially the palms and soles, loss of eyebrows, eyelashes and beard, thickening of the eyelids with blepharitis and ectropion, and corneal degeneration.",3,3,"MONDO:0010637"
7506,"keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome",,"A keratinizing disorder characterized by ichthyosis, palmoplantar keratoderma with constricting bands around fingers, flexural deformities of fingers and keratotic papules in a linear distribution on the flexural side of large joints. Histological examination of the skin of affected individuals shows hypertrophy and hyperplasia of the spinous, granular and horny epidermal layer.",1,1,"MONDO:0011169"
7507,"Keratosis of Greither",,,2,2,
7508,"Keratosis Palmaris et Plantaris Familiaris",,,1,1,
7509,"Keratosis palmoplantaris papulosa",,,2,2,
7510,"Keratosis palmoplantaris striata 1",,,1,1,
7511,"keratosis palmoplantaris striata 2",,"A dermatological disorder characterized by thickening of the skin on the palms (linear pattern) and the soles (island-like pattern) and flexor aspect of the fingers. Abnormalities of the nails, the teeth and the hair are rarely present.",1,1,"MONDO:0013034"
7512,"keratosis palmoplantaris striata 3",,"A dermatological disorder characterized by thickening of the stratum corneum and epidermal layers on palms and soles. There is no involvement of non-palmoplantar skin, and both hair and nails are normal.",1,1,"MONDO:0011881"
7513,"keratosis pilaris atrophicans",,"A group of rare genodermatoses characterized by keratotic follicular papules, variable degrees of inflammation, and secondary atrophic scarring. Most cases are associated with an atopic diathesis and keratosis pilaris on the extensor extremities. KPA is comprised of three distinct clinical subtypes: keratosis pilaris atrophicans faciei, atrophoderma vermiculatum, and keratosis follicularis spinulosa decalvans. Affected individuals may present with features overlapping the 3 subtypes.",3,1,"MONDO:0018855"
7514,"Keratosis pilaris decalvans",,,3,3,
7515,"kernicterus","A brain disease that is characterized by hyperbilirubinemia-induced brain dysfunction.",,2,2,"MONDO:0006819"
7516,"ketoacidosis due to monocarboxylate transporter-1 deficiency",,"A metabolic disorder characterized by recurrent ketoacidosis, a pathologic state due to ketone formation exceeding ketone utilization. The clinical consequences of ketoacidosis are vomiting, osmotic diuresis, dehydration, and Kussmaul breathing. The condition may progress to decreased consciousness and, ultimately, death.",1,1,"MONDO:0014490"
7517,"Ketotic hypoglycemia",,,41,41,
7518,"Keutel syndrome",,"An autosomal recessive disorder characterized by abnormal cartilage calcification, peripheral pulmonary stenosis neural hearing loss and midfacial hypoplasia.",1,1,"MONDO:0009495"
7519,"KID syndrome",,,2,2,"MONDO:0018781"
7520,"kidney angiomyolipoma",,,1,1,"MONDO:0004555"
7521,"Kidney Calculi",,,8,8,
7522,"kidney cancer","A urinary system cancer that is located_in the kidney.",,1686,38,"MONDO:0002367"
7523,"kidney disease","A urinary system disease that is located_in the kidney.",,4970,120,"MONDO:0005240"
7524,"kidney failure","A kidney disease characterized by the failure of the kidneys to adequately filter waste products from the blood.",,121,22,"MONDO:0001106"
7525,"Kidney Failure, Acute",,,85,85,
7526,"kidney neoplasm",,,1688,40,"MONDO:0021163"
7527,"kidney oncocytoma",,,1,1,"MONDO:0003825"
7528,"kidney Wilms tumor","A kidney cancer that affects the kidneys and typically located_in children.",,48,48,"MONDO:0019004"
7529,"Kienbock disease",,,1,1,"MONDO:0019967"
7530,"Kindler syndrome","A skin disease characterized by congenital blistering, skin atrophy, photosensitivity, skin fragility, and scaling.","An autosomal recessive skin disorder characterized by skin blistering, photosensitivity, progressive poikiloderma, and extensive skin atrophy. Additional clinical features include gingival erosions, ocular, esophageal, gastrointestinal and urogenital involvement, and an increased risk of mucocutaneous malignancy.",3,3,"MONDO:0008260"
7531,"King Denborough syndrome",,,1,1,
