drugName,cIds,drugNameOfficial,molecularWeight,smilesString
TPCK,CIDs00439647,TPCK,351.84772,CC1=CC=C(C=C1)S(=O)(=O)NC(CC2=CC=CC=C2)C(=O)CCl
Amastatin,CIDs00439518,#N/A,0,#N/A
Doxycycline,CIDs54671203,doxycycline,444.43456,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
Lactobionic acid,CIDs00007314,lactobionic acid,358.29588,C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C(=O)O)O)O)O)O)O)O
ONO-4817,CIDs09888141,MMP Inhibitor v,416.46752,CCOCOCC(CC(C)C(=O)NO)NC(=O)C1=CC=C(C=C1)OC2=CC=CC=C2
Batimastat,CIDs05362422,batimastat,477.63994,CC(C)CC(C(CSC1=CC=CS1)C(=O)NO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC
Marimastat,CIDs00119031,marimastat,331.40786,CC(C)CC(C(C(=O)NO)O)C(=O)NC(C(=O)NC)C(C)(C)C
Aderbasib,CIDs16070111,INCB7839,416.47082,COC(=O)N1CC2(CC2)CC(C1C(=O)N3CCN(CC3)C4=CC=CC=C4)C(=O)NO
XL-784,CIDs46175189,"2-methoxyethyl (3R)-4-[4-(4-chlorophenoxy)-3,5-difluorophenyl]sulfonyl-3-(oxidocarbamoyl)piperazine-1-carboxylate",1122.148093,COCCOC(=O)N1CCN(C(C1)C(=O)N[O-])S(=O)(=O)C2=CC(=C(C(=C2)F)OC3=CC=C(C=C3)Cl)F.COCCOC(=O)N1CCN(C(C1)C(=O)N[O-])S(=O)(=O)C2=CC(=C(C(=C2)F)OC3=CC=C(C=C3)Cl)F.[Mg+2]
GM-1489,CIDs10322165,gm 1489,463.56862,CC(C)CC(CC(=O)O)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C3=CC=CC=C3
"Ilomastat (GM6001, Galardin)",CIDs00132519,galardin,388.46072,CC(C)CC(CC(=O)NO)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC
CTS-1027,CIDs03342298,CTS-1027,425.8832,C1COCCC1(CS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C(=O)NO
CL-82198,CIDs00002777,cl-82198,302.36818,C1COCCN1CCCCNC(=O)C2=CC3=CC=CC=C3O2
SB-3CT,CIDs09883002,SB-3CT,306.39986,C1C(S1)CS(=O)(=O)C2=CC=C(C=C2)OC3=CC=CC=C3
Incyclinide,CIDs54678924,Metastat,371.34078,C1C2CC3=C(C(=CC=C3)O)C(=C2C(=O)C4(C1CC(=O)C(=C4O)C(=O)N)O)O
Abametapir,CIDs00015664,"5,5'-dimethyl-2,2'-bipyridine",184.23708,CC1=CN=C(C=C1)C2=NC=C(C=C2)C
LTX-315,CIDs46200994,"(2S)-2,6-diamino-N-[(1S)-5-amino-1-[[(1S)-2-[[(1S)-2-[[(1S)-5-amino-1-[[(1S)-5-amino-1-[[(1S)-2-[[(1S)-1-[[(1S)-5-amino-1-carbamoyl-pentyl]carbamoyl]-2,2-diphenyl-ethyl]amino]-1-(1H-indol-3-ylmethyl)-2-oxo-ethyl]carbamoyl]pentyl]carbamoyl]pentyl]amino]-1-(1H-indol-3-ylmethyl)-2-oxo-ethyl]amino]-1-(1H-indol-3-ylmethyl)-2-oxo-ethyl]carbamoyl]pentyl]hexanamide",1439.79144,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)C(CC5=CNC6=CC=CC=C65)NC(=O)C(CC7=CNC8=CC=CC=C87)NC(=O)C(CCCCN)NC(=O)C(CCCCN)N
Tasquinimod,CIDs54682876,tasquinimod,406.35519,CN1C2=C(C(=CC=C2)OC)C(=C(C1=O)C(=O)N(C)C3=CC=C(C=C3)C(F)(F)F)O
Pepstatin,CIDs05478883,pepstatin,685.89212,CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O
Thiabendazole,CIDs00005430,thiabendazole,201.24768,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
Nitroxoline,CIDs00019910,nitroxoline,190.15554,C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-]
Silybin,CIDs00031553,silymarin,482.43618,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
Zosuquidar trihydrochloride,CIDs00153997,zosuquidar,636.987066,C1CN(CCN1CC(COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5C6C(C6(F)F)C7=CC=CC=C47.Cl.Cl.Cl
Tariquidar,CIDs00148201,tariquidar,646.73152,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4NC(=O)C5=CC6=CC=CC=C6N=C5)OC)OC)OC
Cinchonine dihydrochloride,CIDs70004430,#N/A,0,#N/A
Valspodar,CIDs05281884,valspodar,1214.62194,CC=CCC(C)C(=O)C1C(=O)NC(C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C
HM-30181,CIDs11399764,HM-30181,688.72844,COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)N4N=C(N=N4)C5=CC(=C(C=C5NC(=O)C6=CC(=O)C7=CC=CC=C7O6)OC)OC)OC
NMP,CIDs00013387,N-methyl-2-pyrrolidone,99.13106,CN1CCCC1=O
NSC-23925,CIDs91885392,#N/A,0,#N/A
Sulindac,CIDs01548887,#N/A,0,#N/A
Vancomycin hydrochloride,CIDs00014970,vancomycin hydrochloride,1485.71454,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O.Cl
Bleomycin sulfate,CIDs00072466,bleomycin sulfate,1512.6223,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-]
Teicoplanin,CIDs16131923,teichomycin,1879.65828,CCCCCCCCCC(=O)NC1C(C(C(OC1OC2=C3C=C4C=C2OC5=C(C=C(C=C5)C(C6C(=O)NC(C7=CC(=CC(=C7C8=C(C=CC(=C8)C(C(=O)N6)NC(=O)C4NC(=O)C9C1=CC(=CC(=C1)O)OC1=C(C=CC(=C1)C(C(=O)NC(CC1=CC(=C(O3)C=C1)Cl)C(=O)N9)N)O)O)OC1C(C(C(C(O1)CO)O)O)O)O)C(=O)O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)Cl)CO)O)O
Tigecycline,CIDs54686904,tigecycline,585.64866,CC(C)(C)NCC(=O)NC1=C(C2=C(CC3CC4C(C(=O)C(=C(C4(C(=O)C3=C2O)O)O)C(=O)N)N(C)C)C(=C1)N(C)C)O
DMEP,CIDs00008344,DMEP,282.28912,COCCOC(=O)C1=CC=CC=C1C(=O)OCCOC
Terameprocol,CIDs00476861,terameprocol,358.4712,CC(CC1=CC(=C(C=C1)OC)OC)C(C)CC2=CC(=C(C=C2)OC)OC
Mitotane,CIDs00004211,mitotane,320.0412,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
Echinomycin,CIDs00003197,levomycin,1101.25706,CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C
Selinexor,CIDs71481097,selinexor,443.305959,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
KPT-276,CIDs71496742,MolPort-035-395-818,426.264026,C1C(CN1C(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)(F)F
Verdinexor,CIDs71492799,verdinexor,442.317899,C1=CC=NC(=C1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
Eltanexor,CIDs86345880,"(E)-3-[3-[3,5-bis(trifluoromethyl)phenyl]-1,2,4-triazol-1-yl]-2-(5-pyrimidyl)acrylamide",428.291319,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)C2=NN(C=N2)C=C(C3=CN=CN=C3)C(=O)N
Leptomycin B,CIDs06917907,leptomycin B,540.73062,CCC(=CC(C)CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CC(=O)O)C)O)C)C=CC1C(C=CC(=O)O1)C
YM-511,CIDs00177865,Ym 511,354.20398,C1=CC(=CC=C1CN(C2=CC=C(C=C2)C#N)N3C=NN=C3)Br
Miconazole nitrate,CIDs00068553,#N/A,0,#N/A
Fadrozole,CIDs00059693,fadrozole,223.27312,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N
Ketoconazole,CIDs00456201,ketoconazole,531.43092,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
Formestane,CIDs00011273,17-dione,302.40794,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
Anastrozole,CIDs00002187,anastrozole,293.36626,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
Exemestane,CIDs00060198,exemestane,296.40336,CC12CCC3C(C1CCC2=O)CC(=C)C4=CC(=O)C=CC34C
BX-471,CIDs00512282,Bx471,434.891663,CC1CN(CCN1C(=O)COC2=C(C=C(C=C2)Cl)NC(=O)N)CC3=CC=C(C=C3)F
MK-0812,CIDs11180807,MK-0812,587.62831,CC(C)C1(CCC(C1)NC2CCOCC2OC)C(=O)N3CCC4=NC=C(C=C4C3)C(F)(F)F.C(CC(=O)O)C(=O)O
INCB8761 (PF-4136309),CIDs11192346,INCB8761/PF-4136309,568.59005,C1CC(CCC1NC2CCN(C2)C(=O)CNC(=O)C3=CC(=CC=C3)C(F)(F)F)(C4=NC=C(C=C4)C5=NC=CC=N5)O
Vicriviroc (SCH-417690),CIDs03009355,vicriviroc,533.62883,CC1CN(CCN1C(COC)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C
AZD-8797,CIDs11965767,CHEMBL2349310,403.5647,CC(C)CC(CO)NC1=NC(=NC2=C1SC(=N2)N)SC(C)C3=CC=CC=C3
Reparixin,CIDs09838712,reparixin,283.38644,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NS(=O)(=O)C
Danirixin,CIDs24780598,danirixin,441.904143,CC1=C(C=CC=C1F)NC(=O)NC2=C(C(=C(C=C2)Cl)S(=O)(=O)C3CCCNC3)O
NBI-74330,CIDs45784923,NBI74330,605.582093,CCOC1=CC=C(C=C1)N2C(=O)C3=C(N=CC=C3)N=C2C(C)N(CC4=CN=CC=C4)C(=O)CC5=CC(=C(C=C5)F)C(F)(F)F
AMD-3465,CIDs00483559,GENZ-644494,410.59872,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CNCC3=CC=CC=N3
Plerixafor hydrochloride,CIDs00065014,plerixafor,794.46948,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl
Celsentri (Maraviroc),CIDs03002977,maraviroc,513.665546,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
UNBS-5162,CIDs16048966,UNBS5162,326.34982,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)NC(=O)N
KL001,CIDs02888648,CB08282,398.47538,CS(=O)(=O)N(CC1=CC=CO1)CC(CN2C3=CC=CC=C3C4=CC=CC=C42)O
Baicalein,CIDs05281605,baicalein,270.2369,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O
Avasimibe,CIDs00166558,avasimibe,501.72102,CC(C)C1=C(C(=CC=C1)C(C)C)OS(=O)(=O)NC(=O)CC2=C(C=C(C=C2C(C)C)C(C)C)C(C)C
Seviteronel,CIDs78357816,VT-464,399.339493,CC(C)C(C1=CC2=CC(=C(C=C2C=C1)OC(F)F)OC(F)F)(C3=NNN=C3)O
Morin hydrate,CIDs16219651,#N/A,0,#N/A
Myricetin,CIDs05281672,myricetin,318.2351,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O
Olanzapine (LY-170053),CIDs135398745,#N/A,0,#N/A
Isoniazid,CIDs00003767,isoniazid,137.13928,C1=CN=CC=C1C(=O)NN
Methoxsalen,CIDs00004114,8-methoxypsoralen,216.18952,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
Tranylcypromine,CIDs00019493,Parnate,133.19034,C1C(C1N)C2=CC=CC=C2
Quinidine,CIDs00441074,quinidine sulfate,324.41676,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
Taselisib (GDC-0032),CIDs51001932,taselisib,460.53152,CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C
Bepridil,CIDs00002351,bepridil,366.53956,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3
Ranolazine,CIDs00056959,ranolazine,427.53652,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
Acetaminophen,CIDs00001983,paracetamol,151.16256,CC(=O)NC1=CC=C(C=C1)O
Valdecoxib,CIDs00119607,valdecoxib,314.35896,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
Parecoxib sodium,CIDs15895902,#N/A,0,#N/A
Liarozole,CIDs00060652,liarozole,308.76492,C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4
ThioTEPA,CIDs00005453,thiotepa,189.218342,C1CN1P(=S)(N2CC2)N3CC3
Talarozole (R enantiomer),CIDs44421596,(R)-Talarozole,377.50582,CCC(CC)C(C1=CC=C(C=C1)NC2=NC3=CC=CC=C3S2)N4C=NC=N4
Bay-65-1942 hydrochloride,CIDs135449292,#N/A,0,#N/A
LF3,CIDs01213452,AC1NW3I2,416.56016,C1CN(CCN1CC=CC2=CC=CC=C2)C(=S)NC3=CC=C(C=C3)S(=O)(=O)N
PNU-74654,CIDs09836739,PNU-74654,320.34194,CC1=CC=C(O1)C=NNC(=O)C2=CC=CC=C2OC3=CC=CC=C3
KY-02111,CIDs08582409,ky02111,376.85718,COC1=C(C=C(C=C1)CCC(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)OC
WAY-262611,CIDs25199517,CS-3286,318.41548,C1CN(CCC1CN)C2=NC=CC(=N2)C3=CC4=CC=CC=C4C=C3
GNF-6231,CIDs46927297,AGN-PC-080644,448.492703,CC1=C(N=CC(=C1)CC(=O)NC2=NC=C(C=C2)N3CCN(CC3)C(=O)C)C4=CC(=NC=C4)F
IWP-2,CIDs02155128,IWP-2,466.59892,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC4=C(C(=O)N3C5=CC=CC=C5)SCC4
LGK-974,CIDs46926973,LGK-974,396.4445,CC1=C(N=CC(=C1)CC(=O)NC2=NC=C(C=C2)C3=NC=CN=C3)C4=CC(=NC=C4)C
Apresoline,CIDs00003637,hydralazine,160.17592,C1=CC=C2C(=C1)C=NN=C2NN
MK-4101,CIDs16222379,SCHEMBL827179,493.472276,CN1C(=NN=C1C23CCC(CC2)(CC3)C4=NOC(=N4)C5CC(C5)(F)F)C6=CC=CC=C6C(F)(F)F
BMS-833923,CIDs57662985,XL139,473.56828,CC1=C(C=C(C=C1)CNC)NC(=O)C2=CC=C(C=C2)NC3=NC4=CC=CC=C4C(=N3)C5=CC=CC=C5
PF-5274857,CIDs56956240,PF-5274857,436.9555,CC1=CC(=C(N=C1)C2=CC(=NC=C2Cl)N3CCN(CC3)C(=O)CCS(=O)(=O)C)C
HPI-1,CIDs02926768,HPI-1 hydrate,463.52226,CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC=CC=C3OC)C4=CC(=CC=C4)O)C(=O)OCCOC
SAG,CIDs05284330,Nchembio753-comp2,490.05942,CNC1CCC(CC1)N(CC2=CC=CC(=C2)C3=CC=NC=C3)C(=O)C4=C(C5=CC=CC=C5S4)Cl
NSC-75503,CIDs00253078,GANT58,392.47564,C1=CN=CC=C1C2=C(SC(=C2C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5
Glasdegib,CIDs25166913,glasdegib,374.43898,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N
Patidegib,CIDs25027363,saridegib,504.76802,CC1CC2C(C(C3(O2)CCC4C5CCC6CC(CCC6(C5CC4=C(C3)C)C)NS(=O)(=O)C)C)NC1
TAK-441,CIDs44187367,TAK-441,576.56415,CCC1=CC2=C(C(=C(N2C)C(=O)NC3CCN(CC3)C(=O)CO)OCC(F)(F)F)C(=O)N1CC(=O)C4=CC=CC=C4
Robotnikinin,CIDs25109985,robotnikinin,454.94588,C1CC(=O)OC(CNC(=O)C(CC=C1)CC(=O)NCC2=CC=C(C=C2)Cl)C3=CC=CC=C3
MRT-83,CIDs136210511,#N/A,0,#N/A
GANT-61,CIDs00421610,GANT61,429.6003,CN(C)C1=CC=CC=C1CN2CCCN(C2C3=CC=NC=C3)CC4=CC=CC=C4N(C)C
Tranilast,CIDs05282230,tranilast,327.33128,COC1=C(C=C(C=C1)C=CC(=O)NC2=CC=CC=C2C(=O)O)OC
Andrographolide,CIDs05318517,andrographolide,350.4492,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O
Atractylenolide I,CIDs05321018,atractylenolide I,230.30222,CC1=C2CC3C(=C)CCCC3(C=C2OC1=O)C
Pomalidomide,CIDs00134780,pomalidomide,273.24414,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N
Thalidomide,CIDs00005426,thalidomide,258.2295,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
Tanshinone IIA,CIDs00164676,tanshinone IIA,294.34442,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
Avadomide,CIDs24967599,AGN-PC-0DB9SU,286.28596,CC1=NC2=C(C(=CC=C2)N)C(=O)N1C3CCC(=O)NC3=O
Roquinimex,CIDs54676478,#N/A,0,#N/A
Pipequaline,CIDs00071219,pipequaline,316.43936,C1CNCCC1CCC2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4
CP-456773,CIDs09910393,#N/A,0,#N/A
CC-885,CIDs24788636,SCHEMBL61575,440.87954,CC1=C(C=C(C=C1)NC(=O)NCC2=CC3=C(C=C2)C(=O)N(C3)C4CCC(=O)NC4=O)Cl
Methylrosaniline chloride,CIDs00011057,#N/A,0,#N/A
Bioymifi,CIDs70678419,bioymifi,494.31738,C1=CC(=CC=C1N2C(=O)C(=CC3=CC=C(O3)C4=CC5=C(C=C4)C(=O)NC5=O)SC2=N)Br
Purmorphamine,CIDs05284329,purmorphamine,520.62478,C1CCC(CC1)N2C=NC3=C2N=C(N=C3NC4=CC=C(C=C4)N5CCOCC5)OC6=CC=CC7=CC=CC=C76
IDE-2,CIDs23836158,Ald1-H_001728,240.2988,C1CCC(=NNC(=O)CCCCCC(=O)O)C1
KHS-101,CIDs90488983,#N/A,0,#N/A
Stauprimide,CIDs46245328,stauprimide,584.62062,CC12C(C(CC(O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)C(=O)NC6=O)N(C)C(=O)C9=CC=CC=C9)OC
(-)-Indolactam V,CIDs00105000,indolactam V,301.38342,CC(C)C1C(=O)NC(CC2=CNC3=C2C(=CC=C3)N1C)CO
Nirogacestat,CIDs46224413,PF-3084014,489.644146,CCCC(C(=O)NC1=CN(C=N1)C(C)(C)CNCC(C)(C)C)NC2CCC3=CC(=CC(=C3C2)F)F
Avagacestat,CIDs46883536,avagacestat,520.884993,C1=CC(=CC=C1S(=O)(=O)N(CC2=C(C=C(C=C2)C3=NOC=N3)F)C(CCC(F)(F)F)C(=O)N)Cl
Semagacestat,CIDs09843750,#N/A,0,#N/A
LY-411575,CIDs10435235,LY-411575,479.475326,CC(C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3N(C1=O)C)NC(=O)C(C4=CC(=CC(=C4)F)F)O
BMS-299897,CIDs11249248,W-5550,511.94105,CC(C1=C(C=C(C=C1)F)CCCC(=O)O)N(C2=C(C=CC(=C2)F)F)S(=O)(=O)C3=CC=C(C=C3)Cl
LY-2886721,CIDs49837968,LY2886721,390.407046,C1C2CSC(=NC2(CO1)C3=C(C=CC(=C3)NC(=O)C4=NC=C(C=C4)F)F)N
LY-2811376,CIDs44251605,LY2811376,320.360266,CC1(CCSC(=N1)N)C2=C(C=C(C(=C2)C3=CN=CN=C3)F)F
LY-3314814,CIDs67979346,CHEMBL3261045,412.52672,CC#CC1=CC(=CN=C1)C2=CC3=C(CC4(C35N=C(C(=N5)N)C)CCC(CC4)OC)C=C2
MK-8931,CIDs51352361,Verubecestat,409.410386,CC1(CS(=O)(=O)N(C(=N1)N)C)C2=C(C=CC(=C2)NC(=O)C3=NC=C(C=C3)F)F
Crenigacestat,CIDs71236992,#N/A,0,#N/A
BMS-906024,CIDs66550890,Z-3229,556.500059,CN1C2=CC=CC=C2C(=NC(C1=O)NC(=O)C(CCC(F)(F)F)C(CCC(F)(F)F)C(=O)N)C3=CC=CC=C3
BMS-983970,CIDs73388374,SCHEMBL15619937,518.503253,C1CC1CC(C(CCC(F)(F)F)C(=O)NC2C(=O)NC3=C(C=CC=C3F)C(=N2)C4=CC=CC=C4)C(=O)N
PF-05175157,CIDs52934180,AGN-PC-09LZEN,405.49278,CC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCC4(CC3)CC5=C(C(=O)C4)N(N=C5)C(C)C
Tolrestat,CIDs00053359,tolrestat,357.34747,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC
Ellagic acid,CIDs05281855,ellagic acid,302.19264,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
Epalrestat,CIDs01549120,#N/A,0,#N/A
KDS-4103,CIDs01383884,3'-carbamoyl-biphenyl-3-yl-cyclohexylcarbamate,338.40028,C1CCC(CC1)NC(=O)OC2=CC=CC(=C2)C3=CC(=CC=C3)C(=O)N
PF-04457845,CIDs24771824,PF-04457845,455.43241,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4
JNJ-42165279,CIDs54576693,AGN-PC-0HG8J8,410.802386,C1CN(CCN1CC2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4=C(C=CN=C4)Cl
GSK-2194069,CIDs67376285,CS-3324,428.48306,C1CC1C(=O)N2CCC(C2)CC3=NNC(=O)N3C4=CC=C(C=C4)C5=CC6=C(C=C5)OC=C6
Pyrazinamide,CIDs00001046,pyrazinamide,123.1127,C1=CN=C(C=N1)C(=O)N
Orlistat,CIDs03034010,orlistat,495.73482,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O
Cerulenin,CIDs05282054,cerulenin,223.26828,CC=CCC=CCCC(=O)C1C(O1)C(=O)N
C75,CIDs04248455,trans-C 75,254.32208,CCCCCCCCC1C(C(=C)C(=O)O1)C(=O)O
Riociguat,CIDs11304743,riociguat,422.415663,CN(C1=C(N=C(N=C1N)C2=NN(C3=C2C=CC=N3)CC4=CC=CC=C4F)N)C(=O)OC
LY-2608204,CIDs46832368,LY2608204,559.80668,C1CCC(CC1)C2CC2(C3=CC=C(C=C3)S(=O)(=O)C4CC4)C(=O)NC5=NC=C(S5)SCCN6CCCC6
PF-04937319,CIDs46916694,AGN-PC-080XDF,432.432,CC1=CC2=C(O1)C=C(C=C2OC3=CN=C(N=C3)C(=O)N(C)C)C(=O)NC4=NC=C(N=C4)C
Ro-28-1675,CIDs09886086,Ro-0281675,378.50888,CS(=O)(=O)C1=CC=C(C=C1)C(CC2CCCC2)C(=O)NC3=NC=CS3
GSK-1292263A,CIDs24996872,GSK1292263,456.55782,CC(C)C1=NOC(=N1)N2CCC(CC2)COC3=CN=C(C=C3)C4=CC=C(C=C4)S(=O)(=O)C
Buthionine sulphoximine,CIDs00021157,buthionine sulfoximine,222.30512,CCCCS(=N)(=O)CCC(C(=O)O)N
CB-839,CIDs71577426,AGN-PC-0JHD16,571.57407,C1=CC=NC(=C1)CC(=O)NC2=NN=C(S2)CCCCC3=NN=C(C=C3)NC(=O)CC4=CC(=CC=C4)OC(F)(F)F
BPTES,CIDs03372016,BPTES,524.68136,C1=CC=C(C=C1)CC(=O)NC2=NN=C(S2)CCSCCC3=NN=C(S3)NC(=O)CC4=CC=CC=C4
Mitapivat,CIDs59634741,AGN-PC-0D1AJ2,450.55324,C1CC1CN2CCN(CC2)C(=O)C3=CC=C(C=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5
AZD-3965,CIDs10369242,SCHEMBL2875156,515.50597,CC1=C(C(=NN1)C(F)(F)F)CC2=C(C3=C(S2)N(C(=O)N(C3=O)C)C(C)C)C(=O)N4CC(CO4)(C)O
JPH203,CIDs24853505,"(2S)-2-amino-3-[4-[(5-amino-2-phenyl-1,3-benzoxazol-7-yl)methoxy]-3,5-dichlorophenyl]propanoic acid",472.32066,C1=CC=C(C=C1)C2=NC3=C(O2)C(=CC(=C3)N)COC4=C(C=C(C=C4Cl)CC(C(=O)O)N)Cl
Perhexiline,CIDs00004746,perhexiline,277.4879,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3
Coenzyme Q10,CIDs05281915,coenzyme Q10,863.3435,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
Curcumol,CIDs14240392,curcumol,236.34986,CC1CCC2C13CC(C(O3)(CC2=C)O)C(C)C
Omigapil,CIDs06419718,omigapil,275.34438,CN(CC#C)CC1=CC2=CC=CC=C2OC3=CC=CC=C31
CP-91149,CIDs09843900,CP-91149,399.87068,CN(C)C(=O)C(C(CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O
